"sku","cost_price","vancouver"
nbvg45kqae,1797,1
3j6a5oompn,13275,10
3wqpoxxqm3,998,4
ngvjgdv2rn,2002,1
qnv798v52n,6567,2
3o2j7wgjgn,22842,2
3pad688ab3,652,5
38kooq8253,21965,3
nb6x958my3,8946,1
3zdm6jkwwn,12247,3
394zk72lde,6387,2
ngl88z7wbe,391,3
83zjagy44n,7414,3
3axld9gmbn,1568,1
3aqa98axbe,4627,5
edqmabrkgn,17967,9
34kywmmr4e,596,4
ekbd4q945e,15452,5
er56pxlaj3,14590,3
e227lzwa7e,11076,2
34jamkp5m3,8092,3
e244ag6qk3,15593,9
3lo55wkbz3,4170,5
3p7jo6xxg3,10947,4
nyywqjz2yn,3611,10
nq2m9wwamn,1623,6
3okzv5rlzn,1449,1
ek2wrgg6ge,3652,3
er6xo9647e,7492,2
3lp7ykavde,3436,2
nggdy9zlbn,13606,2
erbq924oj3,2963,5
nmomla5vve,3114,2
nmoxav7a9e,15055,1
374kd8pqw3,11006,1
nykym97kd3,12649,3
34jl6mpby3,15916,8
39goowojde,1855,6
ekzp7zg42e,1349,1
rnqaa6daoe,12410,1
3l6q678l73,16187,3
379g9galpn,20118,1
nby97lq5me,934,1
3lokzxkl73,953,6
erydq5or8n,9331,9
nyda2yma9n,2771,25
37xx7lraxn,3647,2
er7lp4y55n,15888,4
ng97vrx7ze,16046,1
3x6bbpggp3,7747,2
nmod77xmke,11565,1
edd2mrlzze,994,2
366jg27583,21061,8
368zr4dw9n,8159,2
3688589j9n,4953,1
3zdmaz7mwn,967,4
nqy2jg4poe,17209,1
e5gxxwk743,5947,6
3p22m87pbe,5864,1
3xr89v94l3,1173,8
36vmr627xe,1413,6
e2bxzd8yae,4710,1
nvyo9659pn,28243,4
e2248qyj6e,13350,1
3pq2ql6wze,26864,1
nbywovgvae,21615,1
3wyoaxgxxn,1579,3
2nyb68g6g3,4750,1
63xbzormln,1744,2
34j77l5zj3,5175,3
3pmx52ylg3,891,5
3lo95m79z3,4238,1
ed88p8ozdn,7886,1
3azyojzbbe,4636,1
nb7ro7vmme,10008,5
3lpdlmaj7e,29332,5
3o2zp28oyn,24476,1
e57q667m93,9953,3
e2aovml763,959,9
3jx4ywympn,8443,1
3a8kaalq8e,23832,5
erqqwbzz53,2111,1
38x5zgbjde,2786,7
3oomlzk4z3,6815,2
34bo8brq4e,999,1
34kzvk44ye,9150,2
3zaqwkv6jn,527,3
nvvk9ka8pn,7767,2
3zkk6vd583,14313,1
nv4z546vqn,4578,2
346kkw964n,13836,2
3w4ox7xgbn,11872,2
e2jdoxyya3,23895,1
39w6r4zyyn,4001,5
3o4rb69k6e,10996,4
qnvrgz2gbe,1061,4
3lmvyaaroe,16582,3
nvv7papgpn,7806,3
z37om54rvn,5190,8
j3j7p6jq93,9520,2
e2vo4r6g73,18598,1
3j2wdwgv9e,48964,5
3wqa8gwvy3,10312,4
nybkyyavz3,9807,2
ergzql9w7n,7001,1
34pqodow43,43596,5
e5vr86qzo3,46656,17
nqz7mog8on,8847,2
38jp6l7p4n,8089,1
e5gy6qd643,16088,1
3p7barvlg3,1886,3
nglmpybope,11353,7
38zy9j2ro3,7991,1
362qgl498n,21525,1
4ngd64l6vn,742,2
3oboyv44kn,14408,1
3xzjz7a94n,17500,1
g38yyrqdon,2984,2
39gqrzwoye,916,3
364qybq2oe,27138,1
379pga9vxn,5138,1
nmm62yw99n,5295,1
3lpjd4rade,6437,2
e2bm6xzaje,34859,4
3z7kjjpr7n,2063,3
3wq5vky6b3,7113,1
nq8qmw55kn,9658,1
edq49doawn,10368,2
nb6kazd9a3,2358,1
3xaoql9xpe,28044,1
34qmxa99je,4837,2
384k5bjkon,5590,1
3xzwqqy5xn,2867,2
nmrbg85ode,422,4
er6myzr97e,9162,5
ekybjp4v53,939,2
nmqvzjmkj3,6289,1
3lo6o8mxd3,4154,4
83wvm88gxn,7723,2
nyyyr4yazn,13022,7
ngbjal9dr3,647,1
nygqxkqryn,5523,1
3aa7d59r83,5818,9
3lxwxyb4d3,17600,2
ng8ojd5ap3,6805,2
er55z9aa93,3261,2
3jvv9p8po3,3383,10
nqvdao7g6e,618,1
l346mdqp4n,25088,1
nqzr6v7von,5307,2
z37vv4oqv3,10648,1
362bmrll9n,2528,2
3ww2zlkzy3,1616,3
39xog6j6g3,4740,4
nb64gzj293,3934,2
368pjkzg9n,7639,40
3xlmpl86k3,15511,1
nyxxmkjlde,6898,1
34pmvzjwy3,14850,3
edygr5g8ge,7781,10
rnq4jwzyme,7470,1
nb8xw9awyn,5329,4
e59a9gyogn,14996,1
e55r4wo6oe,2302,1
er2dqkjz53,1518,2
3ooqwgl6g3,9645,1
e2jm5rbbd3,3213,1
345mj448pe,411,1
3p7vgy5y83,7698,3
63x7vlyjde,9573,1
nvkjkd59p3,1024,1
36v8rx759e,5056,1
372kv8wvje,33447,1
364myoqk9e,12175,1
