"sku","cost_price","halifax"
nv4o2dby2n,2291,1
edz57vw2gn,37096,1
3j2rk27ywe,846,0
nyrwrbpoze,3056,3
nqlx6vgvz3,8398,0
e2gg2p6m73,5924,4
9ekyxljkr3,4495,5
349z6may4n,1665,0
3l86arrryn,1838,1
nyqkxxvzg3,1558,2
e2mmvbdg73,1022,2
3wopbxwrme,820,0
39x4oz9op3,58162,0
ngobxl22re,9894,0
4e5pdaa4o3,1914,2
3j8zy8qdwe,16407,1
nygbwv4yln,4252,1
3xy5zz8bke,1134,10
3opdq6roye,608,0
nb4vo5bg2e,3515,1
nykrk5wky3,553,6
rnq5gzqxkn,4929,1
ng8rvlq2z3,9840,0
nm4jg7lwjn,1817,1
3w7popbxmn,7576,2
3okgv4dpkn,12445,1
3zk87qom73,25125,0
34kzxj6jke,7589,0
erqvmvbmj3,746,4
edo8bblpz3,6441,2
3xa57rq4xe,1018,6
3j8ldwrjpe,11132,1
3azyb2ojme,8244,0
edx49xkq23,2281,3
3wopz6ayqe,193,0
367vz5wloe,568,1
367ym2vp8e,5885,2
nm4j2g7vdn,8159,0
3okrdwl8yn,2144,1
g38vjlrdpn,1091,0
34gvjzpjm3,1780,0
3xrqovy5k3,2003,0
ekqjbpg44e,4095,3
3aq9gq45de,440,22
nb4k76969e,4768,0
36y6bx2k9e,9546,1
39wmzgj7yn,13342,0
3axlvw9wbn,1220,1
3wwaa2q8q3,1836,10
